folder,i,j,overlap
7-scenes-redkitchen,0,1,0.8017
7-scenes-redkitchen,0,2,0.4621
7-scenes-redkitchen,0,3,0.4832
7-scenes-redkitchen,0,4,0.5422
7-scenes-redkitchen,0,5,0.4651
7-scenes-redkitchen,0,6,0.3483
7-scenes-redkitchen,0,7,0.2872
7-scenes-redkitchen,0,8,0.1146
7-scenes-redkitchen,0,9,0.2435
7-scenes-redkitchen,0,10,0.4942
7-scenes-redkitchen,0,11,0.5916
7-scenes-redkitchen,0,12,0.6133
7-scenes-redkitchen,0,13,0.5092
7-scenes-redkitchen,0,14,0.4728
7-scenes-redkitchen,0,15,0.3327
7-scenes-redkitchen,0,16,0.137
7-scenes-redkitchen,0,17,0.1162
7-scenes-redkitchen,0,18,0.2367
7-scenes-redkitchen,0,19,0.3863
7-scenes-redkitchen,0,20,0.2085
7-scenes-redkitchen,0,21,0.0136
7-scenes-redkitchen,0,22,0.0
7-scenes-redkitchen,0,23,0.0
7-scenes-redkitchen,0,24,0.0257
7-scenes-redkitchen,0,25,0.2614
7-scenes-redkitchen,0,26,0.4249
7-scenes-redkitchen,0,27,0.4962
7-scenes-redkitchen,0,28,0.3933
7-scenes-redkitchen,0,29,0.3467
7-scenes-redkitchen,0,30,0.2022
7-scenes-redkitchen,0,31,0.2583
7-scenes-redkitchen,0,32,0.2894
7-scenes-redkitchen,0,33,0.192
7-scenes-redkitchen,0,34,0.1037
7-scenes-redkitchen,0,35,0.0786
7-scenes-redkitchen,0,36,0.1873
7-scenes-redkitchen,0,37,0.2992
7-scenes-redkitchen,0,38,0.2876
7-scenes-redkitchen,0,39,0.3445
7-scenes-redkitchen,0,40,0.3014
7-scenes-redkitchen,0,41,0.281
7-scenes-redkitchen,0,42,0.2445
7-scenes-redkitchen,0,43,0.2063
7-scenes-redkitchen,0,44,0.1939
7-scenes-redkitchen,0,45,0.1876
7-scenes-redkitchen,0,46,0.1922
7-scenes-redkitchen,0,47,0.1423
7-scenes-redkitchen,0,48,0.1331
7-scenes-redkitchen,0,49,0.1097
7-scenes-redkitchen,0,50,0.1311
7-scenes-redkitchen,0,51,0.1241
7-scenes-redkitchen,0,52,0.1351
7-scenes-redkitchen,0,53,0.1123
7-scenes-redkitchen,0,54,0.0752
7-scenes-redkitchen,0,55,0.0504
7-scenes-redkitchen,0,56,0.0644
7-scenes-redkitchen,0,57,0.0741
7-scenes-redkitchen,0,58,0.0869
7-scenes-redkitchen,0,59,0.149
7-scenes-redkitchen,1,2,0.61
7-scenes-redkitchen,1,3,0.5088
7-scenes-redkitchen,1,4,0.4527
7-scenes-redkitchen,1,5,0.3358
7-scenes-redkitchen,1,6,0.2106
7-scenes-redkitchen,1,7,0.1659
7-scenes-redkitchen,1,8,0.0492
7-scenes-redkitchen,1,9,0.1446
7-scenes-redkitchen,1,10,0.3604
7-scenes-redkitchen,1,11,0.4925
7-scenes-redkitchen,1,12,0.5786
7-scenes-redkitchen,1,13,0.5126
7-scenes-redkitchen,1,14,0.4599
7-scenes-redkitchen,1,15,0.315
7-scenes-redkitchen,1,16,0.0823
7-scenes-redkitchen,1,17,0.0461
7-scenes-redkitchen,1,18,0.1478
7-scenes-redkitchen,1,19,0.2617
7-scenes-redkitchen,1,20,0.1158
7-scenes-redkitchen,1,21,0.0
7-scenes-redkitchen,1,22,0.0
7-scenes-redkitchen,1,23,0.0
7-scenes-redkitchen,1,24,0.0
7-scenes-redkitchen,1,25,0.1739
7-scenes-redkitchen,1,26,0.3682
7-scenes-redkitchen,1,27,0.5347
