folder,i,j,overlap
gazebo_summer,0,1,0.70838
gazebo_summer,0,2,0.60302
gazebo_summer,0,3,0.49856999999999996
gazebo_summer,0,4,0.39939
gazebo_summer,0,5,0.32289
gazebo_summer,0,6,0.21515
gazebo_summer,0,7,0.20785
gazebo_summer,0,8,0.24126999999999998
gazebo_summer,0,9,0.24614
gazebo_summer,0,10,0.2028
gazebo_summer,0,11,0.15492999999999998
gazebo_summer,0,12,0.096195
gazebo_summer,0,13,0.07135
gazebo_summer,0,14,0.09847
gazebo_summer,0,15,0.15502
gazebo_summer,0,16,0.1337
gazebo_summer,0,17,0.11332
gazebo_summer,0,18,0.14895
gazebo_summer,0,19,0.19609000000000001
gazebo_summer,0,20,0.2912
gazebo_summer,0,21,0.31361
gazebo_summer,0,22,0.32742
gazebo_summer,0,23,0.37128
gazebo_summer,0,24,0.38485
gazebo_summer,0,25,0.40504
gazebo_summer,0,26,0.40991000000000005
gazebo_summer,0,27,0.38824000000000003
gazebo_summer,0,28,0.37928
gazebo_summer,0,29,0.40121999999999997
gazebo_summer,0,30,0.36851999999999996
gazebo_summer,0,31,0.31312
gazebo_summer,1,0,0.7494
gazebo_summer,1,2,0.715
gazebo_summer,1,3,0.57831
gazebo_summer,1,4,0.4789
gazebo_summer,1,5,0.38129
gazebo_summer,1,6,0.26394
gazebo_summer,1,7,0.23951999999999998
gazebo_summer,1,8,0.23769
gazebo_summer,1,9,0.24306
gazebo_summer,1,10,0.20415
gazebo_summer,1,11,0.15841
gazebo_summer,1,12,0.10563
gazebo_summer,1,13,0.081059
gazebo_summer,1,14,0.10707
gazebo_summer,1,15,0.16902
gazebo_summer,1,16,0.1499
gazebo_summer,1,17,0.12522
gazebo_summer,1,18,0.14611
gazebo_summer,1,19,0.18242
gazebo_summer,1,20,0.27459
gazebo_summer,1,21,0.28041
gazebo_summer,1,22,0.3359
gazebo_summer,1,23,0.37605
gazebo_summer,1,24,0.38128
gazebo_summer,1,25,0.40116
gazebo_summer,1,26,0.40921
gazebo_summer,1,27,0.37296999999999997
gazebo_summer,1,28,0.36612
gazebo_summer,1,29,0.39433
gazebo_summer,1,30,0.35846999999999996
gazebo_summer,1,31,0.29283000000000003
gazebo_summer,2,0,0.6885899999999999
gazebo_summer,2,1,0.7579899999999999
gazebo_summer,2,3,0.64947
gazebo_summer,2,4,0.5231600000000001
gazebo_summer,2,5,0.42399
gazebo_summer,2,6,0.30294
gazebo_summer,2,7,0.2714
gazebo_summer,2,8,0.2448
gazebo_summer,2,9,0.2436
gazebo_summer,2,10,0.20406
gazebo_summer,2,11,0.15621
gazebo_summer,2,12,0.099604
gazebo_summer,2,13,0.085607
gazebo_summer,2,14,0.10502
gazebo_summer,2,15,0.19080999999999998
gazebo_summer,2,16,0.17302
gazebo_summer,2,17,0.13329000000000002
gazebo_summer,2,18,0.14706
gazebo_summer,2,19,0.17307999999999998
gazebo_summer,2,20,0.22380999999999998
gazebo_summer,2,21,0.25394
gazebo_summer,2,22,0.33152
gazebo_summer,2,23,0.3792
gazebo_summer,2,24,0.38538
gazebo_summer,2,25,0.40359
gazebo_summer,2,26,0.42091999999999996
gazebo_summer,2,27,0.37364
gazebo_summer,2,28,0.36985
gazebo_summer,2,29,0.40107
gazebo_summer,2,30,0.3705
gazebo_summer,2,31,0.30328
gazebo_summer,3,0,0.65883
gazebo_summer,3,1,0.71719
gazebo_summer,3,2,0.74887
gazebo_summer,3,4,0.68348
gazebo_summer,3,5,0.5141899999999999
gazebo_summer,3,6,0.37206
gazebo_summer,3,7,0.32048000000000004
gazebo_summer,3,8,0.27374
gazebo_summer,3,9,0.26165
gazebo_summer,3,10,0.21755
gazebo_summer,3,11,0.16367
gazebo_summer,3,12,0.09947
gazebo_summer,3,13,0.086925
gazebo_summer,3,14,0.099971
gazebo_summer,3,15,0.20635
gazebo_summer,3,16,0.19119
gazebo_summer,3,17,0.14415
gazebo_summer,3,18,0.15189
gazebo_summer,3,19,0.15469000000000002
gazebo_summer,3,20,0.17415999999999998
gazebo_summer,3,21,0.29599000000000003
gazebo_summer,3,22,0.3232
gazebo_summer,3,23,0.38753000000000004
gazebo_summer,3,24,0.39931
gazebo_summer,3,25,0.42665
gazebo_summer,3,26,0.43222
gazebo_summer,3,27,0.39158000000000004
gazebo_summer,3,28,0.38954
gazebo_summer,3,29,0.40935
gazebo_summer,3,30,0.38793
gazebo_summer,3,31,0.31181
gazebo_summer,4,0,0.61895
gazebo_summer,4,1,0.69058
gazebo_summer,4,2,0.70145
gazebo_summer,4,3,0.78554
gazebo_summer,4,5,0.69901
gazebo_summer,4,6,0.4796
gazebo_summer,4,7,0.39405
gazebo_summer,4,8,0.32805
gazebo_summer,4,9,0.29112
gazebo_summer,4,10,0.24125
gazebo_summer,4,11,0.1786
gazebo_summer,4,12,0.10929000000000001
gazebo_summer,4,13,0.10037
gazebo_summer,4,14,0.1053
gazebo_summer,4,15,0.22801
gazebo_summer,4,16,0.22541
gazebo_summer,4,17,0.16334
gazebo_summer,4,18,0.16199000000000002
gazebo_summer,4,19,0.12711
gazebo_summer,4,20,0.18222
gazebo_summer,4,21,0.26905
gazebo_summer,4,22,0.32445
gazebo_summer,4,23,0.4021
gazebo_summer,4,24,0.43318
gazebo_summer,4,25,0.46018000000000003
gazebo_summer,4,26,0.45723
gazebo_summer,4,27,0.4173
gazebo_summer,4,28,0.41431
gazebo_summer,4,29,0.42973999999999996
gazebo_summer,4,30,0.39733
gazebo_summer,4,31,0.31403000000000003
gazebo_summer,5,0,0.53951
gazebo_summer,5,1,0.6019899999999999
gazebo_summer,5,2,0.62322
gazebo_summer,5,3,0.66625
gazebo_summer,5,4,0.7761899999999999
gazebo_summer,5,6,0.62759
gazebo_summer,5,7,0.46308
gazebo_summer,5,8,0.38036
gazebo_summer,5,9,0.32525
gazebo_summer,5,10,0.25137
gazebo_summer,5,11,0.19815
gazebo_summer,5,12,0.1339
gazebo_summer,5,13,0.12139000000000001
gazebo_summer,5,14,0.10828
gazebo_summer,5,15,0.23426999999999998
gazebo_summer,5,16,0.24686
gazebo_summer,5,17,0.18529
gazebo_summer,5,18,0.1667
gazebo_summer,5,19,0.12330999999999999
gazebo_summer,5,20,0.14063
gazebo_summer,5,21,0.22844
gazebo_summer,5,22,0.29836
gazebo_summer,5,23,0.37725
gazebo_summer,5,24,0.41835
gazebo_summer,5,25,0.44831000000000004
gazebo_summer,5,26,0.44987
gazebo_summer,5,27,0.42215
gazebo_summer,5,28,0.42263999999999996
gazebo_summer,5,29,0.42586
gazebo_summer,5,30,0.39414
gazebo_summer,5,31,0.29915
gazebo_summer,6,0,0.43913
gazebo_summer,6,1,0.5059899999999999
gazebo_summer,6,2,0.52959
gazebo_summer,6,3,0.5786100000000001
gazebo_summer,6,4,0.642
gazebo_summer,6,5,0.74241
gazebo_summer,6,7,0.59007
gazebo_summer,6,8,0.46553999999999995
gazebo_summer,6,9,0.37018
gazebo_summer,6,10,0.27689
gazebo_summer,6,11,0.23026
gazebo_summer,6,12,0.1766
gazebo_summer,6,13,0.15634
gazebo_summer,6,14,0.11807999999999999
gazebo_summer,6,15,0.19699999999999998
gazebo_summer,6,16,0.27965999999999996
gazebo_summer,6,17,0.22239
gazebo_summer,6,18,0.21116
gazebo_summer,6,19,0.10818
gazebo_summer,6,20,0.072256
gazebo_summer,6,21,0.16819
gazebo_summer,6,22,0.24141999999999997
gazebo_summer,6,23,0.32925
gazebo_summer,6,24,0.38111999999999996
gazebo_summer,6,25,0.4141
gazebo_summer,6,26,0.42795
gazebo_summer,6,27,0.39862
gazebo_summer,6,28,0.39654
gazebo_summer,6,29,0.39768000000000003
gazebo_summer,6,30,0.38406
gazebo_summer,6,31,0.30178
gazebo_summer,7,0,0.40115
gazebo_summer,7,1,0.46993
gazebo_summer,7,2,0.5130600000000001
gazebo_summer,7,3,0.56012
gazebo_summer,7,4,0.62467
gazebo_summer,7,5,0.6661
gazebo_summer,7,6,0.71885
gazebo_summer,7,8,0.62043
gazebo_summer,7,9,0.47665
gazebo_summer,7,10,0.34814
gazebo_summer,7,11,0.27545
gazebo_summer,7,12,0.17768
gazebo_summer,7,13,0.15491
gazebo_summer,7,14,0.11778
gazebo_summer,7,15,0.13602999999999998
gazebo_summer,7,16,0.28966
gazebo_summer,7,17,0.28179
gazebo_summer,7,18,0.28060999999999997
gazebo_summer,7,19,0.14615
gazebo_summer,7,20,0.060417
gazebo_summer,7,21,0.11254000000000002
gazebo_summer,7,22,0.17807
gazebo_summer,7,23,0.29104
gazebo_summer,7,24,0.35793
gazebo_summer,7,25,0.40116999999999997
gazebo_summer,7,26,0.43291
gazebo_summer,7,27,0.39987
gazebo_summer,7,28,0.39286
gazebo_summer,7,29,0.39005
gazebo_summer,7,30,0.37034
gazebo_summer,7,31,0.27587
gazebo_summer,8,0,0.37642
gazebo_summer,8,1,0.42823
gazebo_summer,8,2,0.46031000000000005
gazebo_summer,8,3,0.49288000000000004
gazebo_summer,8,4,0.5513100000000001
gazebo_summer,8,5,0.58938
gazebo_summer,8,6,0.60239
gazebo_summer,8,7,0.72831
gazebo_summer,8,9,0.6501399999999999
gazebo_summer,8,10,0.51656
gazebo_summer,8,11,0.39033
gazebo_summer,8,12,0.24855
gazebo_summer,8,13,0.18921
gazebo_summer,8,14,0.12034
gazebo_summer,8,15,0.10076
gazebo_summer,8,16,0.19545
gazebo_summer,8,17,0.27936
gazebo_summer,8,18,0.28126999999999996
gazebo_summer,8,19,0.18389
gazebo_summer,8,20,0.082461
gazebo_summer,8,21,0.1099
gazebo_summer,8,22,0.17509
gazebo_summer,8,23,0.24579
gazebo_summer,8,24,0.28864
gazebo_summer,8,25,0.37446
gazebo_summer,8,26,0.44061999999999996
gazebo_summer,8,27,0.42341999999999996
gazebo_summer,8,28,0.40376999999999996
gazebo_summer,8,29,0.37393000000000004
gazebo_summer,8,30,0.35507
gazebo_summer,8,31,0.27628
gazebo_summer,9,0,0.36166
gazebo_summer,9,1,0.41748
gazebo_summer,9,2,0.44675
gazebo_summer,9,3,0.47394
gazebo_summer,9,4,0.50195
gazebo_summer,9,5,0.53827
gazebo_summer,9,6,0.5475800000000001
gazebo_summer,9,7,0.6751199999999999
gazebo_summer,9,8,0.7901699999999999
gazebo_summer,9,10,0.63994
gazebo_summer,9,11,0.47633000000000003
gazebo_summer,9,12,0.31477
gazebo_summer,9,13,0.22271999999999997
gazebo_summer,9,14,0.14524
gazebo_summer,9,15,0.11325
gazebo_summer,9,16,0.15695
gazebo_summer,9,17,0.22553
gazebo_summer,9,18,0.21291
gazebo_summer,9,19,0.18416
gazebo_summer,9,20,0.086974
gazebo_summer,9,21,0.11437
gazebo_summer,9,22,0.17595
gazebo_summer,9,23,0.20446
gazebo_summer,9,24,0.24736
gazebo_summer,9,25,0.2965
gazebo_summer,9,26,0.38777
gazebo_summer,9,27,0.39826
gazebo_summer,9,28,0.4162
gazebo_summer,9,29,0.38603000000000004
gazebo_summer,9,30,0.37517
gazebo_summer,9,31,0.31079
gazebo_summer,10,0,0.30068
gazebo_summer,10,1,0.35191999999999996
gazebo_summer,10,2,0.3821
gazebo_summer,10,3,0.40789000000000003
gazebo_summer,10,4,0.44781000000000004
gazebo_summer,10,5,0.46738
gazebo_summer,10,6,0.48181999999999997
gazebo_summer,10,7,0.60412
gazebo_summer,10,8,0.7388100000000001
gazebo_summer,10,9,0.75572
gazebo_summer,10,11,0.62983
gazebo_summer,10,12,0.38353000000000004
gazebo_summer,10,13,0.28645
gazebo_summer,10,14,0.18750999999999998
gazebo_summer,10,15,0.13368
gazebo_summer,10,16,0.10534
gazebo_summer,10,17,0.18664
gazebo_summer,10,18,0.16410999999999998
gazebo_summer,10,19,0.16922
gazebo_summer,10,20,0.08547300000000001
gazebo_summer,10,21,0.11022
gazebo_summer,10,22,0.20248
gazebo_summer,10,23,0.22366
gazebo_summer,10,24,0.20953000000000002
gazebo_summer,10,25,0.25237
